name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Cape Town,2022-09-12T15:00:00,17,17,7,51.75,0,0,,0,0,19.1,22.3,200,1028,27.6,10,528,1.9,5,10,Partially cloudy,partly-cloudy-day,"68816099999,FACT,F6172"
Cape Town,2022-09-12T16:00:00,17,17,7,51.75,0,0,,0,0,17.3,22.3,180,1028,27.6,10,373,1.3,4,10,Partially cloudy,partly-cloudy-day,"68816099999,FACT,F6172"
Cape Town,2022-09-12T17:00:00,15.3,15.3,6.5,55.78,0,0,,0,0,22.4,12.6,207,1028,0,10,173,0.6,2,10,Clear,clear-day,"68816099999,68912099999,68813099999,68817099999,FACT,68819099999,F6172"
Cape Town,2022-09-12T18:00:00,15,15,7,58.79,0,0,,0,0,22.3,24.1,190,1028,0,10,28,0.1,0,10,Clear,clear-day,"68816099999,FACT,F6172"
Cape Town,2022-09-12T19:00:00,14,14,8,67.15,0,0,,0,0,25.2,22.3,190,1029,0,10,9,0,0,10,Clear,clear-night,"68816099999,FACT,F6172"
Cape Town,2022-09-12T20:00:00,13.7,13.7,5.4,57.25,0,0,,0,0,24.7,9.5,134,1029.4,0,20.5,0,,0,10,Clear,clear-night,"68816099999,68912099999,68813099999,68817099999,FACT,68819099999"
Cape Town,2022-09-12T21:00:00,13,13,9,76.68,0,0,,0,0,26.3,22.3,190,1030,0,10,0,,0,10,Clear,clear-night,"68816099999,FACT"
Cape Town,2022-09-12T22:00:00,13,13,9,76.68,0,0,,0,0,26.3,20.5,190,1030,0,10,0,,0,10,Clear,clear-night,"68816099999,FACT"
Cape Town,2022-09-12T23:00:00,13.1,13.1,5.9,61.77,0,0,,0,0,20.8,12.5,173,1030.1,1,20.5,0,,0,10,Clear,clear-night,"68816099999,68912099999,68813099999,68817099999,FACT,68819099999"
Cape Town,2022-09-13T00:00:00,13,13,10,82.01,0,0,,0,0,28.8,18.4,180,1029,27.6,10,0,,0,10,Partially cloudy,partly-cloudy-night,"68816099999,FACT"
